aaMutations	uniqueBarcodes	medianBrightness	std
SA225T	11	3.72795401892	0.0572466229985
SA225V	2	3.63948832974	0.13732965665
SA225V:SM231K	1	3.69901268766	
SA35D	1	3.4731415931	
SA35D:SI159V:SV222A	1	3.03489113914	
SA35D:SK156*:SF163S:SD214G	1	1.50850309816	
SA35D:SK156E:SK212E	1	3.44371987545	
SA35D:SQ67R:SI121V:SV191E:SE220G	1	1.36963052204	
SA35D:SY37N:ST61A:SM76T:SM216L	1	1.30103176561	
SA35G	2	3.68854218825	0.117859292645
SA35G:SK43E:ST60A:SN196S:SD214E	1	1.47635957491	
SA35G:SL58H:SY149C:SL199P:SE211V	1	1.30102999206	
SA35G:SQ92L:SH146R	1	1.30103064869	
SA35G:ST47A:SK99M:SV161A	1	3.12315995185	
SA35G:ST57P:SC68R:SI134T:SN168S	1	1.59382398613	
SA35G:ST60S:SF112S:SN144S:SN162S:SH179R	1	1.30103082225	
SA35P	1	3.68650160282	
SA35P:SF44Y:SI96T:SK111*:SK212E	1	1.30102999127	
SA35P:SI169T:SV217A:SI227T	1	3.23117897661	
SA35P:SL58H:SM151T:SY180C	1	1.44960120838	
SA35P:SN147S:SQ155L:SQ202L:SY235H	1	3.25909873823	
SA35P:SN162S	1	3.69561979116	
SA35S	1	3.63950465663	
SA35S:SE233G	1	3.58046186711	
SA35S:SK212E	1	3.63635680956	
SA35S:SL58P:SE130V:SL199Q	1	1.3023267285	
SA35S:SS173G:SQ202L:SV217D	1	3.28870479131	
SA35S:ST47A:SY141H	1	3.484751974	
SA35S:SY90R:SN133Y:SV161E:SV174G:SK212E:ST228A	1	1.30103004967	
SA35T	1	3.69262144092	
SA35T:SA177T:SN196D	1	3.13893393513	
SA35T:SE122V:SK154R:SL234Q	1	3.50989704856	
SA35T:SE130G:SE170G:SN196S	1	3.29730463582	
SA35T:SE211G	1	1.29944409644	
SA35T:SE88V:SQ92L:SE109V:SI134V:SD153G:SK156R:SY180N	1	1.30237333852	
SA35T:SF221L	1	3.56198110393	
SA35T:SF81S:SF98S:SI134T:SM151L:SQ155R:SK156E:SF163L:SM216K:SI227T:SL234P	1	1.30157023761	
SA35T:SF82S	1	1.77346152991	
SA35T:SF82S:SI186V	1	1.45343800146	
SA35T:SF97S:SN210D:SE233V	1	3.73506103832	
SA35T:SG38R:SQ92L:ST106A:SK111E:SN133S:SK154E:SI169V:SD178V:SY198H:SK207R:SA224V	1	1.30102997467	
SA35T:SG65D:SD131G	1	1.3010320732	
SA35T:SH79P:SL192P:SK207E:SK212R:SV217A	1	1.68176306375	
SA35T:SI126V:SS200N:ST223A	1	3.4968436361	
SA35T:SI126V:SY143H:SV161A:SS173G	1	3.71964860095	
SA35T:SI134N:SM216L:SY235H	1	1.30426820661	
SA35T:SI45T:SF81I:SM86T:SI126V:SI159F:SV161A:SQ175R:SN210I:SM216V	1	1.6013185457	
SA35T:SK39R:SE113K:SN142Y:SQ182L	1	3.25658360919	
SA35T:SK43M:SI45T:SF81L:SK111E:SD153V:SQ202L	1	1.30111374471	
SA35T:SK43R:SI96F:SI134T:SK156*:SV174A	1	1.63308092368	
SA35T:SK50R:SF128I:SK156R:SV161A:SN210Y	1	3.74039569255	
SA35T:SK77Q:SY104F:SK129E:SK156R:SD171G	1	3.51164731387	
SA35T:SK77R	1	3.76406938215	
SA35T:SK83E:SV217A	1	1.301029812	
SA35T:SM76K:SI126V:SE130G:SV148A:SM151T:SI159N:SQ181P	1	1.7498299036	
SA35T:SM76T:SF98L:SE130G:SK138R:SI150V:SK207E:SE220G:SY235H	1	1.30103153559	
SA35T:SN103Y	1	3.56961432376	
SA35T:SN119D:SE122A:SI126V:SN147T:SI150L:SK156R:SK212R:SH215R	1	1.51981724027	
SA35T:SN119S:SN157D	1	3.44485275753	
SA35T:SN157S	1	3.55807602418	
SA35T:SN157Y:SN168D:SG230D	1	3.3787214484	
SA35T:SN196S	1	3.75356833938	
SA35T:SP209A	1	3.71712992756	
SA35T:SP54L:SD115G:SG125R:SG136E:SF163S:SY235F	1	1.37894242748	
SA35T:SQ92L:SI134T:SK154M:SQ182L	1	1.30108782718	
SA35T:ST116A:SA177S:SA224P	1	1.57722342926	
SA35T:ST36A	1	3.58843791103	
SA35T:ST61A:SN162H	1	3.3619314982	
SA35T:ST95I	1	3.63198769554	
SA35T:SV148I:SF221I	1	3.81429348081	
SA35T:SV174A	1	3.45932429591	
SA35T:SV53A:SH75L:SY104H:SF112L:SI159T:SS173R:SV217A:ST223A	1	1.65128397357	
SA35T:SV53L:SP56L	1	1.30868216446	
SA35T:SV53M:SP73S:SM76L:SN133D:SL219P	1	1.30221479272	
SA35T:SW55R:SK99R:SI150V:SD178V	1	1.30102984105	
SA35T:SY141H:SK164R:SK212R	1	3.46087604202	
SA35T:SY143H:SS173G	1	3.46571694025	
SA35T:SY37C:SV59A:SD178G	1	1.80670621268	
SA35T:SY64*:SN168D	1	1.3010895082	
SA35V	5	3.69146995182	0.107141925557
SA35V:SD178Y	1	3.66712853575	
SA35V:SD74H	1	3.30083342976	
SA35V:SD74V:SE93V:SI227V	1	2.93855938381	
SA35V:SE88*:ST95A:SN103S:SK111R:SE130G:SI150T:SN168Y	1	1.30103060988	
SA35V:SF112L:SF128I:SD214G	1	1.40639048876	
SA35V:SF98Y:SE170G	1	3.49460923237	
SA35V:SH137R	1	3.49858753936	
SA35V:SH75R:SK124*:SN168I:SK207R	1	1.61546082781	
SA35V:SH79R:SD80G:SN119D:SK154R	1	1.30098215031	
SA35V:SI121V:SN142Y:SN196H	1	3.33905761516	
SA35V:SI126T	1	3.67245436889	
SA35V:SK124R:SQ155R:SN210D	1	3.57176985961	
SA35V:SK129R:SM151K:SL192Q:SM216T	1	1.30103121909	
SA35V:SK138M	1	3.42567836393	
SA35V:SK138M:SE140G:SV222E	1	1.30103105359	
SA35V:SK160E:ST201A	1	3.5599868966	
SA35V:SK77E:SE93G:SN103Y:SN162D:SN196S:SD208G:SI227T	1	1.56905468522	
SA35V:SL58F:SD74G:SE140G	1	1.35100219535	
SA35V:SM86I:SG89V:SE93G:SI134T	1	1.47019388942	
SA35V:SP185L:SM231T	1	3.28562462029	
SA35V:SQ92R:SK129R:SH146R:SI159F	1	2.12406513874	
SA35V:SS70G:SD127G:SN133D:ST223S:SY235H	1	3.19403795411	
SA35V:ST36A:SS63A	1	3.20329514416	
SA35V:SV161A:SD171G	1	3.70925621161	
SA35V:SV91A:SE122G:SI150T	1	1.44065600543	
SA35V:SW55R	1	1.59295086946	
SA35V:SY143H	1	3.37382990649	
SA35V:SY37H:SI186V	1	3.38734706426	
SA35V:SY64N:SK138R:SY198H:SI227T	1	1.36330469482	
SA85D:SI96V:SD127N:SN133D:SI165T	1	1.59546337482	
SA85D:ST106A:SN142D:SN168D:SI169T:SE170V:SY198C	1	1.30255578904	
SA85G	1	3.50638142989	
SA85G:SN144S:SI186V	1	3.19710018505	
SA85G:SN183I	1	3.12613139152	
SA85P	1	3.5294728833	
SA85P:SI169N:SE233V	1	3.52968876571	
SA85S	3	3.74051993907	0.139358778545
SA85S:SK124R:SD127G:SN162S:SH167R	1	1.69028891583	
SA85S:SN157Y	1	3.65980779241	
SA85S:SV161A:SK212E	1	3.82490612607	
SA85T	6	3.7107169812	0.0965182303664
SA85T:SD100G:SD101G:SN147S:SD153G:ST184A:SY198C:SK212M:SG226V	1	1.42574092455	
SA85T:SD101V:SV148D:SK154R	1	1.30103201397	
SA85T:SD115N:SL192P:SV217A	1	3.52964786974	
SA85T:SD127E:SG172S:SD188G	1	3.72780381795	
SA85T:SD214E	1	3.63530131135	
SA85T:SE109G:SE170G	1	3.50402098621	
SA85T:SE130G:SQ202R:ST228A	1	3.79819016474	
SA85T:SE140G:SY149C:SS173G	1	3.69028459445	
SA85T:SE88G:SE113V	1	3.69119481707	
SA85T:SF128I:SS206G:SI227V	1	3.46646702635	
SA85T:SF128S:SK138E:SL139P:SI165T:SD178G:SV222A:SI227V:SM231K	1	1.30103001935	
SA85T:SF98L:SN162D	1	3.34634756214	
SA85T:SG102S:SY104H:SN144I:ST201N	1	1.30102998801	
SA85T:SI126F:SE140G:SY141C:SD188V	1	3.59362768824	
SA85T:SI150T	1	3.50085552362	
SA85T:SI150V:SN168D:SD178G:SN183I	1	3.14288559225	
SA85T:SI150V:SS173G:SL219Q:ST228S	1	3.86761156301	
SA85T:SI159T:SK160R	1	3.56792177003	
SA85T:SK105R:SE170G	1	3.76656846658	
SA85T:SK124R:SE170V	1	3.67571741557	
SA85T:SK138E:SK164R	1	3.62703351226	
SA85T:SK154E:SY198H	1	3.60720119459	
SA85T:SK154R	1	3.69354314474	
SA85T:SK156R:SI169L	1	4.03066421251	
SA85T:SK164R:SN168Y:SL192R:ST201A:SH229P:SD232G	1	3.70533053105	
SA85T:SK207E	1	3.5663302829	
SA85T:SK212R:SL219Q	1	3.62757283242	
SA85T:SK99E:SL218M	1	3.57838878764	
SA85T:SK99R:SK105R:SK138R:SK156R:SL218P	1	1.30140111459	
SA85T:SK99R:SK212R	1	3.77524041503	
SA85T:SM151T:SI169V	1	3.59349741493	
SA85T:SM231K	1	3.65412823369	
SA85T:SM86T:SF128S:SD178N	1	1.672344627	
SA85T:SN103I:SV174A:SQ202K	1	3.66807984001	
SA85T:SN133D:SN196D:SS206C:SI227T	1	3.58001393416	
SA85T:SN133S	1	3.66207822283	
SA85T:SN147D:SF163S	1	3.59209698323	
SA85T:SN157S:SP190S:SE233G	1	3.69758828758	
SA85T:SN162D	1	3.82509653652	
SA85T:SN162S:SL205P	1	3.13893393222	
SA85T:SN168D	1	3.79464896405	
SA85T:SN168D:SS206G	1	3.69415893839	
SA85T:SN196D:SE220G	2	3.08356501658	0.0812766601206
SA85T:SQ182L:SE233G	1	3.75191680404	
SA85T:SS173C:SI186F	1	3.70132017934	
SA85T:SS206G	2	3.64758376562	0.103248869785
SA85T:SS206G:SK212R	1	3.6226904705	
SA85T:ST106A	1	3.7335798036	
SA85T:ST106A:SV174A:SK207I	1	3.80422943157	
SA85T:SV110A:SL192P	1	3.3338837962	
SA85T:SY141F	1	3.53784407131	
SA85V	1	3.67799349013	
SA85V:SD115G	1	3.7582771071	
SA85V:SE113G:SI169V:SL176P:SA225T	1	2.94702281321	
SA85V:SE113V:SM216L	1	3.4068219249	
SA85V:SI121T:SY235C	1	3.46000677131	
SA85V:SI159T	1	3.64859783327	
SA85V:SK111R:SN133D:SY149H	1	3.46962262059	
SA85V:SK124R	1	3.75322543898	
SA85V:SN103S	1	3.78406607782	
SA85V:SN119S:SE130G	1	3.68629248799	
SA85V:SN119S:SK138*:SE233V	1	3.40952943588	
SA85V:SN144I:SN147D	1	3.69841066742	
SA85V:SN157T:SK164M	1	3.53711090491	
SA85V:SN210D	1	3.77289157478	
SA85V:SS173G:SR213C	1	3.60097677444	
SA85V:SY141C:SI169T	1	3.55762917818	
SC46*	1	1.60468217809	
SC46*:SH215R	1	1.30110424586	
SC46*:SQ181*	1	1.382939878	
SC46*:ST95A:SL205P:SY235C	1	1.49810037475	
SC46*:SV59E:SH79R:SI126L:SN144S:SL199P	1	1.38310297261	
SC46F:SC68Y	1	1.30102974551	
SC46F:SF112S:SE122V:SE211V:SF221L	1	1.30103064834	
SC46F:SH167L	1	1.30103106455	
SC46F:SR71C:SK212E:SV217A	1	1.54131753834	
SC46F:ST106A:SD131G	1	1.3010317841	
SC46G:SD115G:SI165T	1	3.32698848138	
SC46G:SE109G:SD178N:SY198*	1	1.30102999737	
SC46G:SF128S:SN142S:SL205Q:SH215L:ST228A	1	1.30103003055	
SC46G:SF69L:SN103D:SQ181P:SD214G	1	1.30102999164	
SC46G:SH79R:SI96V:SL123P:SI165V	1	1.68890237965	
SC46G:SI126N:SN183S:SV222G	1	1.67187662734	
SC46G:SK77R:ST116S	1	1.45149041697	
SC46G:SN103D:SK154R:SV191A:SL219Q:SI227L	1	1.30102997846	
SC46G:SS63P:SH75R:SE109K:SS145N:SL234P	1	1.45558712327	
SC46G:ST60A:SS63P:ST95S	1	1.30103000403	
SC46G:SV66A:SM76T:SE109V:SS173G:SE220G:SM231V	1	1.44910322822	
SC46G:SV66E:SF112S:SY143Q:SI159V	1	1.48534731474	
SC46G:SV91I:ST116S	1	1.53488393898	
SC46R	3	1.66183466415	0.226818339225
SC46R:SA177V:SM216T	1	1.30102994779	
SC46R:SA85D:SN168S:SH197R	1	1.30103041161	
SC46R:SC68R	1	1.29928330008	
SC46R:SC68R:SD214G:SM231L	1	1.3019036063	
SC46R:SC68R:SE88G:SI126F:SI159T:SK160R:SH167R:SI186N	1	1.30103084308	
SC46R:SC68R:SK154R:SH197Y	1	1.64249042397	
SC46R:SC68S:SD153G	1	1.30107291328	
SC46R:SC68S:SN162Y:SS173R:SL234R	1	1.30102997764	
SC46R:SD101G:SY104H:SK156E	1	1.52133788062	
SC46R:SD188V:SN196D:SD208V	1	1.54002775409	
SC46R:SD214E	1	1.54814509988	
SC46R:SD74A:SF112S:SI121V:SI134F:SG172S:SD178E	1	1.30610561279	
SC46R:SD74N:SI126V:SF128L	1	1.30298076884	
SC46R:SD74N:SN157S	1	1.52788460069	
SC46R:SD74V:SS173G	1	1.90766252745	
SC46R:SD80G:SF82S:SN147S:SY149H:SI169V	1	1.29298219409	
SC46R:SD80N:SK111M	1	1.83701816676	
SC46R:SD80Y:SK124*:SI126T:SL135P:SN144D:SH167R:SL176P:SD214V	1	1.30407740287	
SC46R:SE109G	1	1.45039778292	
SC46R:SE109K:SN119D:SD153N	1	1.30109619878	
SC46R:SE140G:SL205P:SK207T:SM231V	1	1.607081112	
SC46R:SE220V	1	1.30153474725	
SC46R:SE88*	1	1.57316189946	
SC46R:SE88A:SY104H:SN162Y:SN210S	1	1.4281976925	
SC46R:SE88G:SN103D:SF163S	1	1.60734995651	
SC46R:SE93G:SK105R:SG132V:SI227T	1	1.6547551312	
SC46R:SE93G:SK154R:SN162I	1	1.3010317726	
SC46R:SE93K:SF98S:SN119D:SK212R	1	1.4803262702	
SC46R:SE93V:SE211G	1	1.30324395674	
SC46R:SF128L:SH146R:SN147D:SD214G	1	1.30109131205	
SC46R:SF163L	1	1.39221852995	
SC46R:SF69L:SG102S:SK111E:SN147H:SF163I	1	1.41816868284	
SC46R:SF69L:SQ202R:SM216V	1	1.63841914383	
SC46R:SF69L:SV91G:SK105M:SD153G:SS206C	1	1.45467281258	
SC46R:SF69S	1	1.30103179017	
SC46R:SF69S:SF128L:SI134N	1	1.42742351212	
SC46R:SF69S:SF81L:SV91A:SF98S:SK105E:SK111R:ST116A:SV174E:SN196D	1	1.3010312465	
SC46R:SF69S:SK77T:SF81L:SV91A:SF97I:SK212E	1	1.30102942667	
SC46R:SF69S:SK99R:SS145R:SA152V:SI169V:SQ175R:SM216V	1	1.30102999267	
SC46R:SF69S:SY72H:SV91A:SI96N:SN142D:SN147Y:SV191M:SL192P:SK212R	1	1.57713453798	
SC46R:SF81I:SK83R:SY180F:SL205P	1	1.30103122911	
SC46R:SF81L:SF82S:SI96N:SG102C:SN103D:SN144D:SL193P	1	1.30103283179	
SC46R:SF81L:SI121V	1	1.38125853393	
SC46R:SF81L:SK105E:SQ182*:SD188H:SQ202R:SE211G:SF221L	1	1.30112569599	
SC46R:SF81L:SS84F:SM151S:SH197R:SL199R:SD214G	1	1.30103044862	
SC46R:SF81S:SK83E:SF97L:SF128L:SL135Q:SS173C:SS203P	1	1.30103059075	
SC46R:SF81S:SN157D:SN196D	1	1.41991021894	
SC46R:SF81S:ST228S	1	1.41991057412	
SC46R:SF82L:SF98L:SL192Q:SF221L	1	1.54957939594	
SC46R:SF82L:SF98S:SN103Y:SS200C:SL205Q	1	1.3010299889	
SC46R:SF82L:SK138R:SM151T	1	1.37973024947	
SC46R:SF82L:SQ92L:SD100G:SM216T	1	1.30103102623	
SC46R:SF82L:SV91A:ST106A:SK156R:SL205P:SM216T	1	1.30553928806	
SC46R:SF82L:SY90R:SF98S:SD101N:SI126V:SV174A:SS203P	1	1.30006575978	
SC46R:SF97L:SG114D:SL192P:SK212M:SL234P	1	1.56515853902	
SC46R:SF97S	1	2.03963426164	
SC46R:SF97S:SF221S	1	1.69697367414	
SC46R:SF97S:SN144D:SK156M:SK164E:SL192Q	1	1.3011144553	
SC46R:SG114C:SF163L:SV191A	1	1.30103039469	
SC46R:SG136E:SN196F	1	1.61818566869	
SC46R:SG158S:SK164E:SN168Y	1	1.30106317061	
SC46R:SG49S:SW55*:SD74Y:SS84P:SY104C:SN119S:SK138*:SN142S:SV191E:SD195N	1	1.5251949463	
SC46R:SG49V:SK83R:SF112S:SE113G:SS173G	1	1.3037586319	
SC46R:SG65S:SH179Y:SK212E	1	1.30110211107	
SC46R:SH137L:SK156E	1	1.30121370595	
SC46R:SH137R:SN142D:SM151K:SI165V:SV174G:SD195G	1	1.56283852157	
SC46R:SH75L:SF97S:SE113V:SL123P:SN133S:SN196D:ST201A	1	1.30102999263	
SC46R:SH75L:SH79R:SD101G:SK160M:SK212E:SM216V	1	1.49498281604	
SC46R:SH75R:SI126V:SL199P:SM216V	1	1.30102985031	
SC46R:SH79L:SH137L:SY143C:SN147S:SN183S:SN210S	1	1.57329741782	
SC46R:SI121F	1	1.30103001522	
SC46R:SI121N:SD208G	1	1.30103024757	
SC46R:SI126V:SH137Y:SI150N:SN168S:SI169V:SM231K	1	1.39775935577	
SC46R:SI126V:SP209L	1	1.86671486951	
SC46R:SI134N:SG189R	1	1.50471227196	
SC46R:SI134T:SK156R:SI186V:SY198N:SY235H	1	1.30103024978	
SC46R:SI96N:SQ202L	1	3.43371505003	
SC46R:SK105E:SD127V:SS145N:SK160R:SP185S:SN210Y:SD214E	1	1.57923171496	
SC46R:SK105R:SQ175R:SS206C	1	1.54159357188	
SC46R:SK129M:SI186V:SL199Q	1	1.30439412883	
SC46R:SK138R:SS206G:ST223A	1	1.30103010035	
SC46R:SK50E:SF69L:SK99E:SK105R:SF128L:SI159V	1	1.69043938776	
SC46R:SK50M:SK111R:SI121V	1	2.16694112715	
SC46R:SK50R:SH75R:SM86T:SN147D:SQ175R	1	1.44033190287	
SC46R:SK50R:SS70G:SQ78L:SD131E:SK138E:SM231K	1	1.30102999533	
SC46R:SK77*	1	1.40628523019	
SC46R:SK77*:SI121T:SI134T:SK138*:SD178A	1	1.34791547908	
SC46R:SK77R:SF98L	1	1.3956742349	
SC46R:SK77R:SQ78R:SN157G:SG158R:SD195G	1	1.30103165289	
SC46R:SK77R:SV91A:SF98L:SN147Y:SS203P:SI227T	1	1.30106818755	
SC46R:SK83E:SI126V:SH146R:SH179C:SP190L:SY198H:ST228N	1	1.57377572147	
SC46R:SK83M:ST223A	1	1.30239075842	
SC46R:SK83R:SK99R	1	1.55143872003	
SC46R:SK99*:SD101V:ST223P:SD232G	1	2.63844390238	
SC46R:SL123P:SK129R:SL135R:SH137L:SD153G	1	1.31210136269	
SC46R:SL135P:SN183V	1	1.30109984939	
SC46R:SL135R:SQ181L	1	1.44788810347	
SC46R:SL139P:SN147Y:SM151R:SM231A	1	1.40463884083	
SC46R:SL199Q	1	1.76615547923	
SC46R:SL51P:SK105E:SY141C:SE233G	1	1.47204344852	
SC46R:SL51P:SL58P:SL139Q:SP185H	1	1.30353580509	
SC46R:SL51Q:SE88G:SK99R:SL139Q:SK156R:SI159F:SN168S:SN210S	1	1.30246788668	
SC46R:SL58H:SM76K:SV217A:SV222M	1	1.50417765631	
SC46R:SL58R:SK138E:SQ182R:SV191A:SL193R:SE211G	1	1.30103187279	
SC46R:SL62P:SF128S:SK212R	1	1.30022633628	
SC46R:SL62P:SF82I:ST95A:SF98S:SI159V:SN196D:SS200G:SM216L	1	1.30274554815	
SC46R:SL62Q:SY90D:SD115G:SN142I:SS203P	1	1.68502024613	
SC46R:SL62R:SN147I:SH229L	1	1.77992964219	
SC46R:SM151V:ST201A:SL205P:SK212E:SG230A:SY235N	1	1.96894331604	
SC46R:SM76K:SK83G:SF163S:SH167R:SQ181*:SP185L	1	1.48660153388	
SC46R:SM76T:SD171E:SK207R	1	1.30103054556	
SC46R:SM76T:SI121V	1	1.5727750809	
SC46R:SM76T:SN162S:SA177D	1	1.57407202958	
SC46R:SM76V:SF163L:SQ202R	1	1.6003134128	
SC46R:SM76V:SN103D:SK105R:SI134N:SQ175R:SN210Y:SK212R:ST223A	1	1.60849697093	
SC46R:SM86I:SN157D:SN162T:SY198H	1	1.30102998394	
SC46R:SM86L	1	1.30102998512	
SC46R:SM86L:SQ92L:SD101G:SK105E:SN119S:SF128L:SD131E:SN144S:SD214G	1	1.39034018786	
SC46R:SM86T:SH197L:SV217A	1	1.61112031028	
SC46R:SM86T:SQ92*:SH137R:SE140G:SF163L	1	1.30103002019	
SC46R:SM86V:SD214G:SL234Q	1	1.30349021433	
SC46R:SN103D:SN183D	1	1.30103004624	
SC46R:SN103S:SE109G:SK138E:SY143C	1	1.52403350377	
SC46R:SN103S:SY104C:SI121T:SY143C	1	1.30214345021	
SC46R:SN103Y:SY180C:SL199Q:SY235F	1	1.30102998341	
SC46R:SN119D:SI121T:ST184A:SH197L:ST228P	1	1.30102998173	
SC46R:SN119D:SI150V	1	1.45310084939	
SC46R:SN119Y:SI126F:SK154E	1	1.30370377995	
SC46R:SN142I:SK156*:SI159N:SQ175*:SH197R:SL199R	1	1.31363823627	
SC46R:SN144S:SV191A	1	1.62919903697	
SC46R:SN183I:ST201S	1	1.3062957294	
SC46R:SP52L:SY64C:SF97L:SK156R	1	1.30103002642	
SC46R:SP54S:SD178V	1	1.58716537193	
SC46R:SP54S:SN168D:SN196S	1	1.48065183115	
SC46R:SP56L:ST61A:SK129R:SN196K	1	1.5980938431	
SC46R:SP56S:ST60A:SF82I:SN119S:SL139P:SF163S	1	1.58694168961	
SC46R:SP73R:SV91A:SN157D	1	1.30102998827	
SC46R:SQ175R:SD178A:SE220G	1	1.30186637308	
SC46R:SQ67R:SC68R:SK154E:SS173C:SL234P	1	1.30103107546	
SC46R:SQ67R:SH167Q	1	1.610627024	
SC46R:SQ67R:SH79L:SA108G:SF112L:SN133D:SF163L:SY180H	1	1.30102999509	
SC46R:SQ78R:SV110A:SD178G:SD232G	1	1.30103115069	
SC46R:SQ92R:SE93G:SK129E:SM151L:SD171G:SN183D:ST184A:ST228A:SD232G	1	1.5360875169	
SC46R:SR71S:SK129R:SN157D:SV174E:SP194S	1	1.4406561006	
SC46R:SS145G	1	1.43488994651	
SC46R:SS145G:SN183Y	1	1.29971880132	
SC46R:SS173G:SN183S:SS203T:SL218P	1	1.55217824074	
SC46R:SS173G:SQ181R	1	1.3010304955	
SC46R:SS63P:SF128S:SN133S:SV148I:SK156E:ST201A	1	1.30103103355	
SC46R:SS63P:SN133S:SD195N:SE211K	1	1.30181156788	
SC46R:SS63P:SV66E:SM151V:SN210Y	1	1.58795866824	
SC46R:SS70C:SH79Q:SL135Q:SM231L	1	1.30109704353	
SC46R:SS84P:ST116S	1	1.30102997519	
SC46R:SS84P:SY141C:SK164E:SE233*	1	1.30102998662	
SC46R:SS84Y:SM86V:ST106A:SE233G	1	1.29860368857	
SC46R:ST201A	1	1.30103000696	
SC46R:ST47A:SW55R:ST61A:SE88D:SN103Y	1	1.30103064855	
SC46R:ST47A:SY104N:SH137R:SV222A	1	1.30073205567	
SC46R:ST47N:SH79Y:SD188G	1	1.60135593456	
SC46R:ST47S:SE233V	1	3.46797382714	
SC46R:ST48S:SS145G:SI165F	1	1.302893964	
SC46R:ST57A:SF82S:SD115V:SK156E:SL176H	1	1.30947606479	
SC46R:ST57A:SI159T:SN168D	1	1.54865015942	
SC46R:ST57A:SS70C:SD80V:SF82I:SN133Y:SN157D:SS200G	1	1.46154626043	
