,value
813,1
814,1
815,1
816,0
817,1
818,1
819,1
820,1
821,0
822,1
823,0
824,1
825,1
826,1
827,0
828,1
829,0
830,1
831,1
832,1
833,1
834,1
835,0
836,0
837,0
838,1
839,0
840,1
841,1
842,1
843,1
844,0
845,0
846,1
847,0
848,1
849,0
850,1
851,1
852,0
853,0
854,1
855,1
856,0
857,1
858,1
859,0
860,1
861,1
862,0
863,1
864,1
865,1
866,1
867,1
868,0
869,0
870,1
871,1
872,0
873,1
874,0
875,0
876,1
877,0
878,0
879,0
880,1
881,1
882,1
883,0
884,1
885,0
886,1
887,0
888,1
889,0
890,1
891,1
892,1
893,0
894,1
895,1
896,0
897,0
898,1
899,0
900,0
901,1
902,0
903,0
904,0
905,1
906,0
907,0
908,1
909,1
910,0
911,0
912,1
913,1
914,1
915,1
916,1
917,0
918,1
919,1
920,0
921,1
922,1
923,0
924,0
925,1
926,1
927,0
928,1
929,0
930,0
931,0
932,1
933,0
934,0
935,0
936,0
937,0
938,1
939,1
940,1
941,1
942,0
943,1
944,1
945,1
946,0
947,1
948,1
949,0
950,1
951,0
952,0
953,0
954,1
955,1
956,1
957,0
958,0
959,0
960,0
961,1
962,1
963,0
964,0
965,0
966,0
967,0
968,0
969,1
970,1
971,0
972,0
973,0
974,1
975,1
976,0
977,0
978,0
979,1
980,1
981,1
982,0
983,1
984,0
985,1
986,1
987,0
988,1
989,1
990,1
991,1
992,1
993,0
994,1
995,0
996,0
997,0
998,0
999,1
