seqs,preds,method,Method Type
"['Galf', 'a1-2', 'Galf', 'a1-3', 'Man', 'a1-2', 'Man', 'a1-3', 'Galf', 'a1-2', 'Galf']",6.040582e-07,Original-Random,Random
"['Gal', 'b1-3', 'Gal', 'b1-3', 'Gal', 'b1-6', 'Gal', '1-1', '1-1', '1-1', '1-1']",9.42872e-11,Original-Random,Random
"['GalOS', 'b1-4', 'GlcNAc', 'b1-2', 'Man', 'a1-6', 'NeuNAc', 'a2-6', 'Gal', 'b1-4', 'GlcNAc']",9.954358e-09,Original-Random,Random
"['Gal', 'b1-4', 'GlcNAc', 'b1-2', 'Man', 'a1-3', 'GlcNAc', 'b1-2', 'Man', 'a1-6', 'GlcNAc']",5.7740646e-10,Original-Random,Random
"['D-Araf', 'b1-3', 'D-Araf', 'b1-5', 'D-Araf', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.0001309406,Original-Random,Random
"['Glc', 'b1-2', 'GalNAc', 'a1-3', 'Man', 'b1-4', 'Man', 'b1-3', 'GlcNAc', 'b1-3', 'Glc']",3.6077208e-10,Original-Random,Random
"['Gal', 'b1-3', 'Gal', 'b1-4', 'Man', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",6.563722e-08,Original-Random,Random
"['Glc', 'a1-3', 'LDManHep', 'a1-7', 'LDManHep', 'a1-3', 'LDManHepOP', 'a1-5', 'Kdo', 'a2-4', 'Kdo']",5.72184e-13,Original-Random,Random
"['Glc', 'a1-6', 'Rha', 'a1-3', 'Glc', 'b1-3', 'Glc', 'a1-4', 'GalOMeNAla', '1-1', '1-1']",6.668675e-10,Original-Random,Random
"['GlcNAc', 'a1-2', 'Rha', 'a1-2', 'Rha', 'a1-3', 'Rha', 'a1-3', 'Rha', '1-1', '1-1']",5.418096e-10,Original-Random,Random
"['Fuc', 'a1-2', 'Gal', 'b1-2', 'Xyl', 'a1-6', 'Xyl', 'a1-6', 'Glc', 'b1-4', 'Glc']",2.711092e-11,Original-Random,Random
"['Gal', 'b1-4', 'GlcNAc', 'b1-2', 'Gal', 'b1-4', 'GlcNAc', 'b1-4', 'Man', 'a1-3', 'GlcNAc']",1.8608701e-11,Original-Random,Random
"['Fuc', 'a1-2', 'Gal', 'a1-3', 'Gal', 'b1-4', 'Glc', '1-1', '1-1', '1-1', '1-1']",1.3365165e-12,Original-Random,Random
"['Man', 'a1-3', 'Man', 'a1-6', 'Man', 'a1-3', 'Man', 'b1-4', 'GlcNAc', 'b1-4', 'GlcNAc']",2.5873756e-05,Original-Random,Random
"['D-FucNAc', 'b1-4', 'QuiNAc', 'b1-3', '6dTalOAc', 'a1-3', 'D-FucNAc', '1-1', '1-1', '1-1', '1-1']",1.1204465e-07,Original-Random,Random
"['RhaOS', 'a1-3', 'Man', 'b1-4', 'RhaOS', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.00059002306,Original-Random,Random
"['Man', 'a1-6', 'Man', 'b1-4', 'GlcNAc', 'b1-4', 'Fuc', 'a1-6', 'GlcNAc', '1-1', '1-1']",2.0409418e-08,Original-Random,Random
"['GalALys', 'a1-3', 'GalNAc', 'b1-4', 'GlcA', 'b1-3', 'GalNAc', 'b1-2', 'GalALys', '1-1', '1-1']",2.3043867e-11,Original-Random,Random
"['Gal', 'b1-4', 'GlcNAc', 'b1-2', 'Gal', 'b1-4', 'GlcNAc', 'b1-4', 'Man', 'a1-3', 'GlcNAc']",1.8608701e-11,Original-Random,Random
"['Glc', 'b1-2', 'Xyl', 'b1-4', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",4.4081073e-08,Original-Random,Random
"['GlcNAc', 'b1-2', 'Man', 'a1-3', 'GlcNAc', 'b1-2', 'Man', 'a1-6', 'Xyl', 'b1-2', 'Man']",4.0914852e-10,Original-Random,Random
"['Glc', 'b1-2', 'Xyl', 'b1-3', 'Glc', 'b1-4', 'Gal', '1-1', '1-1', '1-1', '1-1']",5.4973796e-08,Original-Random,Random
"['GalNAc', 'b1-4', 'NeuNAc', 'a2-3', 'Gal', 'b1-4', 'GlcNAc', 'b1-6', 'Fuc', 'a1-2', 'GalNAc']",8.9124915e-14,Original-Random,Random
"['Glc', 'b1-2', 'Glc', 'b1-4', 'GlcA', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",3.4837583e-08,Original-Random,Random
"['Man', 'a1-2', 'Man', 'a1-6', 'Man', 'a1-3', 'Man', 'a1-6', 'Man', 'a1-2', 'Man']",1.1265269e-06,Original-Random,Random
"['GlcNAc', 'b1-3', 'GlcNAc', 'b1-6', 'GalNAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1.4058207e-07,Original-Random,Random
"['GlcA', 'b1-3', 'GalNAc', 'a1-3', 'GalNAc', 'a1-2', 'Fuc', 'a1-2', 'GlcA', '1-1', '1-1']",1.1080261e-07,Original-Random,Random
"['Glc', 'a1-3', 'Gal', 'b1-2', 'Gal', 'b1-3', 'D-Rha', 'a1-4', 'Gal', 'a1-2', 'GlcA']",4.8297506e-16,Original-Random,Random
"['Glc', 'b1-2', 'Glc', 'b1-3', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",6.9147546e-08,Original-Random,Random
"['Gal', 'a1-4', 'Gal', 'b1-4', 'Glc', 'a1-2', 'Glc', 'b1-6', 'GlcNAc', 'a1-2', 'Glc']",7.104337e-11,Original-Random,Random
"['NeuNGc', 'a2-3', 'Gal', 'b1-4', 'GlcNAc', 'b1-2', 'Man', 'a1-3', 'Man', 'a1-3', 'Man']",7.618125e-14,Original-Random,Random
"['RhaOBut', 'a1-4', 'Glc', 'b1-3', 'RhaOBut', 'a1-4', 'Rha', 'a1-4', 'D-Fuc', 'b1-2', 'Rha']",1.2178927e-11,Original-Random,Random
"['Kdo', 'b2-3', 'Gal', 'a1-5', 'Kdo', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",5.6459624e-12,Original-Random,Random
"['Fuc', 'a1-2', 'Gal', 'b1-4', 'GlcNAc', 'b1-6', 'NeuNAc', 'a2-3', 'Gal', 'b1-3', 'GalNAc']",1.8578558e-15,Original-Random,Random
"['GlcNAc', 'b1-2', 'Man', 'a1-3', 'GlcNAc', 'b1-2', 'Man', 'a1-6', 'Xyl', 'b1-2', 'Man']",4.0914852e-10,Original-Random,Random
"['ManNAcA', 'b1-3', 'D-FucNAcNMe', 'b1-6', 'GlcNAc', 'a1-4', 'ManNAcA', 'b1-3', 'D-FucNAcNMe', 'b1-6', 'GlcN']",2.3705145e-11,Original-Random,Random
"['3,6-Anhydro-L-Gal', 'a1-3', 'Gal', 'b1-4', '3,6-Anhydro-L-Gal', 'a1-3', 'Gal', 'b1-4', '3,6-Anhydro-L-Gal', 'a1-3', 'Gal-ol']",8.2161417e-10,Original-Random,Random
"['Rha', 'a1-2', 'Rha', 'a1-3', 'Glc', 'b1-2', 'Rha', 'a1-3', 'Rha', '1-1', '1-1']",1.7820274e-09,Original-Random,Random
"['NeuNAc', 'a2-6', 'Gal', 'b1-4', 'GlcNAcOS', 'b1-2', 'Man', 'a1-3', 'NeuNAc', 'a2-6', 'Gal']",5.4215154e-16,Original-Random,Random
"['Kdo', 'a2-6', 'GlcN', 'a1-4', 'GalA', 'a1-3', 'LDManHep', 'a1-7', 'LDManHep', 'a1-3', 'GalA']",1.43415635e-11,Original-Random,Random
"['LDManHep', 'a1-4', 'Gal', 'a1-7', 'Kdo', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",8.237646e-12,Original-Random,Random
"['GlcOPGro', 'b1-4', 'Glc', 'a1-6', 'GalOAc', 'a1-3', 'FucNAc', 'a1-3', 'GlcNAc', 'b1-3', 'GlcOPGro']",2.0490452e-13,Original-Random,Random
"['Fuc', 'a1-2', 'Gal', 'b1-2', 'Xyl', 'a1-6', 'Glc', 'b1-4', 'Glc', 'b1-4', 'Glc']",2.6097523e-12,Original-Random,Random
"['Gal', 'a1-6', 'Glc', 'b1-3', 'GalOPEtnN', 'a1-4', 'LDManHep', 'a1-2', 'GalA', 'a1-3', 'GlcOPEtn']",1.6166358e-11,Original-Random,Random
"['Glc', 'a1-3', 'Glc', 'a1-3', 'GlcOMe', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",6.613573e-07,Original-Random,Random
"['Rha', 'a1-3', 'Rha', 'a1-2', 'Rha', 'b1-2', 'Rha', '1-1', '1-1', '1-1', '1-1']",4.248335e-09,Original-Random,Random
"['Man', 'a1-3', 'Man', 'a1-2', 'Man', 'a1-2', 'Man', 'a1-2', 'Man', 'a1-2', 'Man']",1.0680554e-06,Original-Random,Random
"['Rha', 'a1-3', 'L-Xyl', 'b1-2', 'Rha', 'b1-4', 'Rha', 'a1-2', 'Rha', '1-1', '1-1']",1.988382e-09,Original-Random,Random
"['GlcNAc', 'a1-7', 'Gal', 'b1-3', 'LDManHep', 'a1-2', 'LDManHep', 'a1-3', 'Glc', 'b1-4', 'Glc']",8.447367e-13,Original-Random,Random
"['Gal', 'b1-4', 'GlcNAc', 'b1-3', 'Gal', 'b1-4', 'Glc', '1-1', '1-1', '1-1', '1-1']",5.0314504e-09,Original-Random,Random
"['Galf', 'b1-4', 'Gal', 'a1-3', 'GalOAcA', 'a1-3', 'GalNAc', 'b1-3', 'Galf', '1-1', '1-1']",5.6365716e-14,Original-Random,Random
"['GalNAc', 'a1-4', 'Gal', 'b1-4', 'GlcA', 'b1-3', 'Gal', 'b1-3', 'Fuc', 'a1-2', 'Gal']",3.803271e-14,Original-Random,Random
"['Glc', 'b1-6', 'Glc', 'b1-3', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",2.0792409e-06,Original-Random,Random
"['DDManHep', 'a1-3', 'Fuc', 'a1-3', 'GlcNAc', 'b1-2', 'Glc', 'a1-4', 'Gal', 'b1-7', 'DDManHep']",2.383378e-12,Original-Random,Random
"['NeuNAc', 'a2-6', 'Gal', 'b1-4', 'GlcNAc', 'b1-2', 'Man', 'a1-6', 'NeuNGc', 'a2-6', 'Gal']",5.695063e-15,Original-Random,Random
"['Rha', 'a1-2', 'Rha', 'a1-4', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",4.2007372e-08,Original-Random,Random
"['Glc', 'b1-2', 'Rha', 'a1-4', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1.1721687e-07,Original-Random,Random
"['Glc', 'b1-2', '1-4', 'b1-3', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",4.263972e-06,Mutated-Random,Random
"['Rha', 'a1-3', 'RhaOAc', 'a1-6', 'Gal', '1-1', '1-1', '1dAlt-ol', '1-1', '1-1', '1-1']",1.5814131e-11,Mutated-Random,Random
"['Fuc', 'a1-2', 'Gal', 'a1-3', 'Gal', '1-1', 'Glc', '1-1', '1-1', '1-1', '1-1']",9.3388144e-12,Mutated-Random,Random
"['Galf', 'b1-5', 'Glc', 'b1-6', 'Galf', 'b1-5', 'Galf', '1-1', '1-1', '1-6', '1-1']",5.491823e-10,Mutated-Random,Random
"['Man', 'b1-4', 'Rha', 'a1-3', 'GalOAc', 'a1-6', 'Man', '1-1', '1-1', '1-6', '1-1']",9.149074e-07,Mutated-Random,Random
"['D-Araf', 'b1-3', 'D-Araf', 'b1-5', 'D-Araf', '1-1', '1-1', '1-1', '2,5-Anhydro-Man-ol', '1-1', '1-1']",4.812025e-05,Mutated-Random,Random
"['LDManHep', 'a1-2', 'DDManHep', '1-3', 'GalA', 'a1-3', 'LDManHep', 'a1-7', 'LDManHep', 'a1-3', 'Glc']",4.0732997e-11,Mutated-Random,Random
"['Gal', 'b1-3', 'Gal', '2,5-Anhydro-Man', 'Gal', 'b1-6', 'Gal', '1-1', '1-1', '1-1', '1-1']",1.1113742e-09,Mutated-Random,Random
"['GalALys', 'a1-3', 'GalNAc', 'b1-4', 'GlcA', 'b1-3', 'GalNAc', '1-3', 'GalALys', '1-1', '1-1']",5.0970325e-11,Mutated-Random,Random
"['GalOS', '1dEry-ol', 'GlcNAc', 'b1-2', 'Man', 'a1-6', 'NeuNAc', 'a2-6', 'Gal', 'b1-4', 'GlcNAc']",4.4468353e-09,Mutated-Random,Random
"['GalNAc', 'a1-4', 'Gal', 'b1-4', 'GlcA', 'b1-3', 'Gal', 'b1-3', 'Fuc', 'a1-2', '2,5-Anhydro-Man-ol']",1.318811e-13,Mutated-Random,Random
"['D-Rha', 'a1-3', 'D-Rha', 'a1-3', 'D-Rha', 'a1-2', 'D-Rha', 'a1-2', 'D-Rha', '1-5', 'D-Rha']",4.854292e-09,Mutated-Random,Random
"['Fuc', 'a1-2', 'Gal', 'a1-3', 'Gal', 'b1-4', '1-1', '1-1', '1-1', '1-1', '1-1']",4.9059506e-12,Mutated-Random,Random
"['Glc', 'b1-2', 'Xyl', 'b1-3', 'Glc', 'b1-4', 'Gal', '2,5-Anhydro-Man', '1-1', '1-1', '1-1']",1.3962694e-08,Mutated-Random,Random
"['QuiNAc', 'b1-3', 'FucOAc', 'a1-4', 'Gal', 'b1-3', 'GalNAc', '1-2', 'QuiNAc', 'b1-3', 'FucOAc']",1.9107457e-11,Mutated-Random,Random
"['Glc', 'a1-6', '2,5-Anhydro-Man-ol', 'a1-3', 'Glc', 'b1-3', 'Glc', 'a1-4', 'GalOMeNAla', '1-1', '1-1']",1.091304e-07,Mutated-Random,Random
"['GlcOPGro', 'b1-4', 'Glc', 'a1-6', 'GalOAc', '1dEry-ol', 'FucNAc', 'a1-3', 'GlcNAc', 'b1-3', 'GlcOPGro']",4.1915646e-13,Mutated-Random,Random
"['Glc', 'a1-3', 'Man', 'a1-3', 'Glc', 'b1-3', 'Glc', '1-1', '1-1', '1-4', '1-1']",1.19889005e-08,Mutated-Random,Random
"['Gal', '1-6', 'GlcNAc', 'b1-3', 'Gal', 'a1-4', 'DDManHep', 'a1-6', 'Glc', 'b1-4', 'LDManHep']",5.046815e-11,Mutated-Random,Random
"['Gal', 'b1-3', 'Gal', 'b1-4', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-4']",9.442617e-08,Mutated-Random,Random
"['NeuNGc', 'a2-6', 'Gal', 'b1-4', 'GlcNAc', 'b1-2', 'Man', 'a1-3', 'Gal', 'b1-4', '1-1']",9.549765e-13,Mutated-Random,Random
"['2,5-Anhydro-Man', 'b1-2', 'Rha', 'a1-4', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1.509229e-06,Mutated-Random,Random
"['GlcOP', 'a1-3', 'Galf', 'b1-3', 'GlcNAc', 'b1-2', 'Galf', 'b1-6', 'GlcNAc', '1-1', '2,5-Anhydro-Man']",9.9888195e-09,Mutated-Random,Random
"['Kdo', 'b2-3', 'Gal', 'a1-5', '1dAlt-ol', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1.7975276e-11,Mutated-Random,Random
"['Glc', 'a1-3', 'Gal', 'b1-2', '2,5-Anhydro-Man-ol', 'b1-3', 'D-Rha', 'a1-4', 'Gal', 'a1-2', 'GlcA']",2.8833066e-14,Mutated-Random,Random
"['GalA', 'a1-4', 'GalA', 'a1-5', 'Kdo', 'a2-4', 'Man', 'a1-5', 'Kdo', '2,5-Anhydro-Man', '1-1']",2.958131e-11,Mutated-Random,Random
"['1-1', 'a1-3', 'L-Xyl', 'b1-2', 'Rha', 'b1-4', 'Rha', 'a1-2', 'Rha', '1-1', '1-1']",2.1690208e-07,Mutated-Random,Random
"['Fuc', 'a1-2', 'Gal', 'b1-2', 'Xyl', 'a1-6', 'Glc', 'b1-4', 'Glc', '2,5-Anhydro-Man', 'Glc']",5.191951e-11,Mutated-Random,Random
"['3,6-Anhydro-L-Gal', 'a1-3', 'Gal', 'b1-4', '3,6-Anhydro-L-Gal', 'a1-3', 'Gal', '1-6', '3,6-Anhydro-L-Gal', 'a1-3', 'Gal-ol']",5.891646e-10,Mutated-Random,Random
"['GlcA', 'b1-2', 'Rha', 'a1-2', 'Rha', 'a1-2', 'Rha-ol', '1-1', '1dAlt-ol', '1-1', '1-1']",2.6732806e-08,Mutated-Random,Random
"['1dAlt-ol', 'a1-3', 'Galf', 'b1-3', 'GlcNAc', 'b1-2', 'Galf', 'b1-6', 'GlcNAc', '1-1', '1-1']",1.5591677e-07,Mutated-Random,Random
"['Fuc', 'a1-2', 'Gal', 'b1-2', 'Xyl', 'a1-6', 'Xyl', 'a1-6', 'Glc', 'b1-4', '2,5-Anhydro-Man']",6.9458883e-12,Mutated-Random,Random
"['GlcNAc', 'a1-7', 'Gal', 'b1-3', 'LDManHep', 'a1-2', 'LDManHep', 'a1-3', 'Glc', 'b1-4', '1dEry-ol']",3.072383e-12,Mutated-Random,Random
"['Rha', 'a1-3', '2,5-Anhydro-Man', 'b1-2', 'Rha', 'b1-4', 'Rha', 'a1-2', 'Rha', '1-1', '1-1']",4.4793896e-07,Mutated-Random,Random
"['GlcNAc', 'b1-3', 'Rha', '1-4', 'Rha', 'a1-3', 'L-Xyl', 'b1-4', 'Rha', 'a1-3', 'GlcNAc']",1.1156408e-11,Mutated-Random,Random
"['D-Araf', 'b1-3', 'D-Araf', 'b1-5', '1-6', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.00017656518,Mutated-Random,Random
"['GalNAc', 'b1-4', 'NeuNAc', 'a2-3', 'Gal', 'b1-4', 'GlcNAc', '2,5-Anhydro-Man', 'Fuc', 'a1-2', 'GalNAc']",2.9911902e-12,Mutated-Random,Random
"['NeuNAc', 'a2-6', 'Gal', 'b1-4', 'GlcNAc', '2,5-Anhydro-Man', 'Man', 'a1-6', 'NeuNGc', 'a2-6', 'Gal']",5.714472e-14,Mutated-Random,Random
"['Gal', 'b1-4', 'GlcNAc', '1dAlt-ol', 'Man', 'a1-3', 'GlcNAc', 'b1-2', 'Man', 'a1-6', 'GlcNAc']",3.76852e-09,Mutated-Random,Random
"['GalA', 'a1-4', 'GalA', 'a1-5', 'Kdo', 'a2-4', 'Man', '1-2', 'Kdo', '1-1', '1-1']",5.0872895e-10,Mutated-Random,Random
"['GlcNAc', 'a1-2', 'Rha', 'a1-2', 'Rha', 'a1-3', '1-2', 'a1-3', 'Rha', '1-1', '1-1']",2.3977234e-10,Mutated-Random,Random
"['Fuc', 'a1-3', 'Fuc', 'a1-6', 'GlcNAc', '1-3', '1-1', '1-1', '1-1', '1-1', '1-1']",5.2349676e-09,Mutated-Random,Random
"['Man', 'a1-6', 'Man', 'b1-4', '2,5-Anhydro-Man-ol', 'b1-4', 'Fuc', 'a1-6', 'GlcNAc', '1-1', '1-1']",8.39871e-07,Mutated-Random,Random
"['ManNAcA', 'b1-3', 'D-FucNAcNMe', 'b1-6', 'GlcNAc', 'a1-4', '1-3', 'b1-3', 'D-FucNAcNMe', 'b1-6', 'GlcN']",1.3374122e-09,Mutated-Random,Random
"['Glc', 'a1-3', 'Glc', 'a1-3', '1dEry-ol', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",3.0814008e-05,Mutated-Random,Random
"['GalNAc', 'a1-4', 'Gal', '1-1', 'GlcA', 'b1-3', 'Gal', 'b1-3', 'Fuc', 'a1-2', 'Gal']",2.774562e-13,Mutated-Random,Random
"['GlcA', 'b1-2', 'Rha', 'a1-2', 'Rha', 'a1-2', 'Rha-ol', '1-2', '1-1', '1-1', '1-1']",4.8363358e-09,Mutated-Random,Random
"['GalA', 'a1-4', 'GalA', 'a1-5', 'Kdo', 'a2-4', 'Man', 'a1-5', 'Kdo', '1-1', '1dAlt-ol']",3.1136673e-11,Mutated-Random,Random
"['Glc', 'b1-3', 'Glc', 'b1-2', 'Rha', 'a1-4', '1-4', '1-1', '1-1', '1-1', '1-1']",2.3012994e-08,Mutated-Random,Random
"['ManNAcA', '1dAlt-ol', 'D-FucNAcNMe', 'b1-6', 'GlcNAc', 'a1-4', 'ManNAcA', 'b1-3', 'D-FucNAcNMe', 'b1-6', 'GlcN']",3.6421438e-10,Mutated-Random,Random
